available_checkpoints,batch_size,best_epoch,best_val_acc,best_val_dqn_proxy_expanded5,best_val_dqn_proxy_softmax3,best_val_macro_f1,best_val_metric,cache_len,cache_root,checkpoint_tags,class_weight_mode,config_path,dataset_tag,early_stopping_mode,entropy_loss_weight,epochs,family_tag,grad_clip_norm,has_config,has_history,has_summary,history_lr_best,history_lr_last,history_lr_len,history_path,history_train_loss_best,history_train_loss_last,history_train_loss_len,history_val_acc_best,history_val_acc_last,history_val_acc_len,history_val_dqn_proxy_expanded5_best,history_val_dqn_proxy_expanded5_last,history_val_dqn_proxy_expanded5_len,history_val_dqn_proxy_softmax3_best,history_val_dqn_proxy_softmax3_last,history_val_dqn_proxy_softmax3_len,history_val_loss_best,history_val_loss_last,history_val_loss_len,history_val_macro_f1_best,history_val_macro_f1_last,history_val_macro_f1_len,known_pa_names,label_smoothing,lambda_center,lr,mlp_dropout,model_selection_metric,n_checkpoints,noise_tag,open_conf_selection_metric,paper_set,pas,protocols,result_root,run_dir,run_name,scheduler_name,seed,source_name,source_type,split_mode,summary_path,task,test_dqn_proxy_expanded5,test_dqn_proxy_softmax3,test_energy_auroc,test_entropy_auroc,test_expanded5_mean_auroc,test_known_acc,test_known_macro_f1,test_logit_variance_auroc,test_p1p2_auroc,test_pmax_auroc,test_softmax3_mean_auroc,unknown_pa_names,unknown_pas,weight_decay
,16,,,,,,,32768,,[],,results_pa_cache_sweep/05-14_04-22-26_c32768_bs16_lr5e4_lc01_wd0_seed0/config.json,,,,40,,,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0005,,,0,,,,,,results_pa_cache_sweep,results_pa_cache_sweep/05-14_04-22-26_c32768_bs16_lr5e4_lc01_wd0_seed0,c32768_bs16_lr5e4_lc01_wd0_seed0,,0,,,closed,,pa,,,,,,,,,,,,,,0.0
,8,,,,,,,32768,,[],,results_pa_cache_sweep/10-07_04-22-26_c32768_bs8_lr5e4_lc01_wd0_seed0/config.json,,,,40,,,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0005,,,0,,,,,,results_pa_cache_sweep,results_pa_cache_sweep/10-07_04-22-26_c32768_bs8_lr5e4_lc01_wd0_seed0,c32768_bs8_lr5e4_lc01_wd0_seed0,,0,,,closed,,pa,,,,,,,,,,,,,,0.0
,8,4,0.9972222222222222,,,0.997222136485694,,32768,,"[""best_model""]",,results_pa_cache_sweep/10-09_04-22-26_c32768_bs8_lr5e4_lc01_wd0_seed0/config.json,,,,40,,,True,True,True,,,,results_pa_cache_sweep/10-09_04-22-26_c32768_bs8_lr5e4_lc01_wd0_seed0/history.json,0.8788676331440608,0.4114924185332798,12,0.9972222222222222,0.9861111111111112,12,,,,,,,0.31496818876928756,0.10322464621729321,12,0.997222136485694,0.9861003861003861,12,,,0.1,0.0005,,,1,,,,,,results_pa_cache_sweep,results_pa_cache_sweep/10-09_04-22-26_c32768_bs8_lr5e4_lc01_wd0_seed0,c32768_bs8_lr5e4_lc01_wd0_seed0,,0,,,closed,results_pa_cache_sweep/10-09_04-22-26_c32768_bs8_lr5e4_lc01_wd0_seed0/summary.json,pa,,,,,,,,,,,,,,0.0
,8,,,,,,,65536,,[],,results_pa_cache_sweep/11-38_04-22-26_c65536_bs8_lr5e4_lc01_wd0_seed0/config.json,,,,40,,,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0005,,,0,,,,,,results_pa_cache_sweep,results_pa_cache_sweep/11-38_04-22-26_c65536_bs8_lr5e4_lc01_wd0_seed0,c65536_bs8_lr5e4_lc01_wd0_seed0,,0,,,closed,,pa,,,,,,,,,,,,,,0.0
,8,,,,,,,65536,,[],,results_pa_cache_sweep/11-49_04-22-26_c65536_bs8_lr5e4_lc01_wd0_seed0/config.json,,,,40,,,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0005,,,0,,,,,,results_pa_cache_sweep,results_pa_cache_sweep/11-49_04-22-26_c65536_bs8_lr5e4_lc01_wd0_seed0,c65536_bs8_lr5e4_lc01_wd0_seed0,,0,,,closed,,pa,,,,,,,,,,,,,,0.0
,16,,,,,,,16384,,"[""best_model""]",,results_pa_confmanifold_coarse/12-10_04-29-26_confman_baseline_knownonly_unkPA2_c16384_seed0/config.json,,known_only,0.0,200,,,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.0005,0.3,val_macro_f1,1,,dqn_proxy_softmax3,,,,results_pa_confmanifold_coarse,results_pa_confmanifold_coarse/12-10_04-29-26_confman_baseline_knownonly_unkPA2_c16384_seed0,confman_baseline_knownonly_unkPA2_c16384_seed0,cosine,0,,,open_pa,,pa,,,,,,,,,,,,,"[""PA2""]",0.0
,16,,,,,,,16384,,[],,results_pa_confmanifold_coarse/12-11_04-29-26_confman_baseline_knownonly_unkPA2_c16384_seed0/config.json,,known_only,0.0,200,,,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.0005,0.3,val_macro_f1,0,,dqn_proxy_softmax3,,,,results_pa_confmanifold_coarse,results_pa_confmanifold_coarse/12-11_04-29-26_confman_baseline_knownonly_unkPA2_c16384_seed0,confman_baseline_knownonly_unkPA2_c16384_seed0,cosine,0,,,open_pa,,pa,,,,,,,,,,,,,"[""PA2""]",0.0
,16,,,,,,,16384,,[],,results_pa_confmanifold_coarse/12-18_04-29-26_confman_baseline_knownonly_unkPA2_c16384_seed0/config.json,,known_only,0.0,200,,,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.0005,0.3,val_macro_f1,0,,dqn_proxy_softmax3,,,,results_pa_confmanifold_coarse,results_pa_confmanifold_coarse/12-18_04-29-26_confman_baseline_knownonly_unkPA2_c16384_seed0,confman_baseline_knownonly_unkPA2_c16384_seed0,cosine,0,,,open_pa,,pa,,,,,,,,,,,,,"[""PA2""]",0.0
,16,,,,,,,16384,,[],,results_pa_confmanifold_coarse/12-28_04-29-26_confman_baseline_knownonly_unkPA2_c16384_seed0/config.json,,known_only,0.0,200,,,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.0005,0.3,val_macro_f1,0,,dqn_proxy_softmax3,,,,results_pa_confmanifold_coarse,results_pa_confmanifold_coarse/12-28_04-29-26_confman_baseline_knownonly_unkPA2_c16384_seed0,confman_baseline_knownonly_unkPA2_c16384_seed0,cosine,0,,,open_pa,,pa,,,,,,,,,,,,,"[""PA2""]",0.0
,16,,,,,,,16384,,[],,results_pa_confmanifold_coarse/12-49_04-29-26_confman_baseline_knownonly_unkPA2_c16384_seed0/config.json,,known_only,0.0,200,,,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.0005,0.3,val_macro_f1,0,,dqn_proxy_softmax3,,,,results_pa_confmanifold_coarse,results_pa_confmanifold_coarse/12-49_04-29-26_confman_baseline_knownonly_unkPA2_c16384_seed0,confman_baseline_knownonly_unkPA2_c16384_seed0,cosine,0,,,open_pa,,pa,,,,,,,,,,,,,"[""PA2""]",0.0
"[""best_model"", ""epoch_20"", ""final_model""]",16,6,0.9925925925925926,0.8288029250429391,0.852484372421662,0.9925916779849363,0.9925916779849363,16384,,"[""best_model"", ""epoch_20"", ""final_model""]",,results_pa_confmanifold_coarse/15-32_04-29-26_confman_baseline_knownonly_unkPA2_c16384_seed0/config.json,,known_only,0.0,200,,,True,True,True,0.0005,0.0004877665762479736,21,results_pa_confmanifold_coarse/15-32_04-29-26_confman_baseline_knownonly_unkPA2_c16384_seed0/history.json,0.6291015642029899,0.32983005236065577,21,0.9925925925925926,0.9925925925925926,21,0.8929853463012264,0.8303982175444651,21,0.956318944469539,0.8082695134230615,21,0.1806962863162712,0.11115510044274507,21,0.9925916779849363,0.9925916779849363,21,"[""PA3"", ""PA4"", ""PA8""]",0.1,0.1,0.0005,0.3,val_macro_f1,3,,dqn_proxy_softmax3,,,,results_pa_confmanifold_coarse,results_pa_confmanifold_coarse/15-32_04-29-26_confman_baseline_knownonly_unkPA2_c16384_seed0,confman_baseline_knownonly_unkPA2_c16384_seed0,cosine,0,pilot_noisy_torch,digital,open_pa,results_pa_confmanifold_coarse/15-32_04-29-26_confman_baseline_knownonly_unkPA2_c16384_seed0/summary.json,pa,0.8398422523133681,0.8631804548494403,0.6646949891067538,0.7481263616557734,0.7079571532316631,0.9962962962962963,0.9962961819809254,0.6315395787944809,0.7473202614379085,0.7481045751633986,0.7478503994190269,"[""PA2""]","[""PA2""]",0.0
"[""best_model"", ""epoch_20"", ""final_model""]",16,26,0.9962962962962963,0.8644936298195733,0.9090352028038866,0.9962961819809254,0.9962961819809254,16384,,"[""best_model"", ""epoch_20"", ""final_model""]",,results_pa_confmanifold_coarse/15-33_04-29-26_confman_baseline_knownonly_unkPA3_c16384_seed0/config.json,,known_only,0.0,200,,,True,True,True,0.0005,0.000452263797744018,41,results_pa_confmanifold_coarse/15-33_04-29-26_confman_baseline_knownonly_unkPA3_c16384_seed0/history.json,0.7117443729014624,0.33949260598137265,41,0.9962962962962963,0.9925925925925926,41,0.9312882777155876,0.8570711425087507,41,0.9828426123711056,0.8981962248157761,41,0.22431901373245097,0.08552259190215004,41,0.9962961819809254,0.9925916779849363,41,"[""PA2"", ""PA4"", ""PA8""]",0.1,0.1,0.0005,0.3,val_macro_f1,3,,dqn_proxy_softmax3,,,,results_pa_confmanifold_coarse,results_pa_confmanifold_coarse/15-33_04-29-26_confman_baseline_knownonly_unkPA3_c16384_seed0,confman_baseline_knownonly_unkPA3_c16384_seed0,cosine,0,pilot_noisy_torch,digital,open_pa,results_pa_confmanifold_coarse/15-33_04-29-26_confman_baseline_knownonly_unkPA3_c16384_seed0/summary.json,pa,0.8828795107647462,0.9297082777494028,0.6643173565722585,0.8712527233115467,0.7823740014524327,0.9962962962962963,0.9962961819809254,0.644840232389252,0.8617538126361655,0.8697058823529411,0.8675708061002178,"[""PA3""]","[""PA3""]",0.0
